"block_name","block_num","branch_eligiblenotEligible","expt_id","group_id","network_error_repeat","participant_id","participation_duration","response_correct","response_mode","response_name","response_rt","response_target","response_type","response_value","session_id","session_start_time","stimuli_presented","stimulus_files_presented","trial_duration","trial_num","trial_template"
"Headphone_check",2,"eligible","69015814f335d88cf423df62","default",0,"216f69eb51f2b606796c8c0004524edcc0fe25ae72db98a0c82e94840dacb92f",647.295256137848,"True","click","choice6_2",10270,"['%s:number2']","choice-response","%s:number2","6903ce92ffa68ce47bdd41d8","2025-10-30 16:46:10-04:00","hiddenToneQ|hiddenTone6","hiddenToneQ|HugginsPitch_6_2.flac",17280,16,"headphone_detection_6"
"Headphone_check",2,"eligible","69015814f335d88cf423df62","default",0,"216f69eb51f2b606796c8c0004524edcc0fe25ae72db98a0c82e94840dacb92f",647.295256137848,"","keypress","Press_C_to_Continue_1",3200,"","keypress-response","c","6903ce92ffa68ce47bdd41d8","2025-10-30 16:46:10-04:00","headphoneDoneIterations","headphoneDoneIterations",3204,17,"headphone_check_end"
"Begin",3,"eligible","69015814f335d88cf423df62","default",0,"216f69eb51f2b606796c8c0004524edcc0fe25ae72db98a0c82e94840dacb92f",647.295256137848,"True","click","Continue",76537,"['Continue']","choice-response","Continue","6903ce92ffa68ce47bdd41d8","2025-10-30 16:46:10-04:00","Transcription_Instr","",76541,NA,"Transcription_Instr"
"Begin",3,"eligible","69015814f335d88cf423df62","default",0,"216f69eb51f2b606796c8c0004524edcc0fe25ae72db98a0c82e94840dacb92f",647.295256137848,"","keypress","Press_C_to_Continue_1",9233,"","keypress-response","c","6903ce92ffa68ce47bdd41d8","2025-10-30 16:46:10-04:00","volumeAdjusted|playTranscription|volumeAdjustPressC","volumeAdjusted|we_were_not_surprised_to_see_that_there_was_a_feast.wav|volumeAdjustPressC",9236,18,"adjust_volume_transcription"
"Transcription",4,"eligible","69015814f335d88cf423df62","default",0,"216f69eb51f2b606796c8c0004524edcc0fe25ae72db98a0c82e94840dacb92f",647.295256137848,"","keypress","Transcription_Response",9055,"","text-response","i told my cleague that something is wrong with the map","6903ce92ffa68ce47bdd41d8","2025-10-30 16:46:10-04:00","Transcription_11","i_told_my_colleague_that_something_is_wrong_with_the_math.wav",14264,19,"Transcription"
"Transcription",4,"eligible","69015814f335d88cf423df62","default",0,"216f69eb51f2b606796c8c0004524edcc0fe25ae72db98a0c82e94840dacb92f",647.295256137848,"","keypress","Transcription_Response",12716,"","text-response","grandma told us last monday that things are great","6903ce92ffa68ce47bdd41d8","2025-10-30 16:46:10-04:00","Transcription_5","grandma_told_us_last_monday_that_there_is_a_rip.wav",17269,20,"Transcription"
"Transcription",4,"eligible","69015814f335d88cf423df62","default",0,"216f69eb51f2b606796c8c0004524edcc0fe25ae72db98a0c82e94840dacb92f",647.295256137848,"","keypress","Transcription_Response",9901,"","text-response","she moved closer to look at the cheap","6903ce92ffa68ce47bdd41d8","2025-10-30 16:46:10-04:00","Transcription_16","she_leaned_closer_to_look_at_the_cheek.wav",14190,21,"Transcription"
"Transcription",4,"eligible","69015814f335d88cf423df62","default",0,"216f69eb51f2b606796c8c0004524edcc0fe25ae72db98a0c82e94840dacb92f",647.295256137848,"","keypress","Transcription_Response",7068,"","text-response","born said that they needed to have some uphill","6903ce92ffa68ce47bdd41d8","2025-10-30 16:46:10-04:00","Transcription_19","the_report_said_that_he_admitted_to_have_seen_a_heel.wav",11509,22,"Transcription"
"Transcription",4,"eligible","69015814f335d88cf423df62","default",0,"216f69eb51f2b606796c8c0004524edcc0fe25ae72db98a0c82e94840dacb92f",647.295256137848,"","keypress","Transcription_Response",7734,"","text-response","i am one hundred percent sure that i feld the heat","6903ce92ffa68ce47bdd41d8","2025-10-30 16:46:10-04:00","Transcription_9","i_am_one_hundred_percent_sure_that_i_felt_the_heat.wav",12681,23,"Transcription"
"Transcription",4,"eligible","69015814f335d88cf423df62","default",0,"216f69eb51f2b606796c8c0004524edcc0fe25ae72db98a0c82e94840dacb92f",647.295256137848,"","keypress","Transcription_Response",6304,"","text-response","dad told me that i should not miss the big slot","6903ce92ffa68ce47bdd41d8","2025-10-30 16:46:10-04:00","Transcription_2","dad_told_me_that_i_should_not_miss_the_big_sloth.wav",10834,24,"Transcription"
