group_id,participant_id,response_value,stimuli_presented,stimulus_files_presented,block,item_base,item_type,condition,nonphon_err_type,phon_err_details,answer,second_attempt_used,trial_num_sequential
Group_2,680c376ed2436b9e832fedcfdced9ce41cbe335135ba6750a908ebcc452f5505,the leport said the leader shameal,Transcription_19,the_report_said_that_he_admitted_to_have_seen_a_heel.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,5
Group_2,680c376ed2436b9e832fedcfdced9ce41cbe335135ba6750a908ebcc452f5505,she admired the design of the sovi boot,Transcription_15,she_admired_the_design_of_the_sturdy_booth.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,6
Group_2,680c376ed2436b9e832fedcfdced9ce41cbe335135ba6750a908ebcc452f5505,after the barbecue jess today she was left to weep,Transcription_1,after_the_barbecue_yesterday_she_was_left_to_weep.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,7
Group_2,680c376ed2436b9e832fedcfdced9ce41cbe335135ba6750a908ebcc452f5505,i found it amusing that he was ascared of the rock,Transcription_10,i_found_it_amusing_that_he_was_scared_of_the_wrath.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,8
Group_2,680c376ed2436b9e832fedcfdced9ce41cbe335135ba6750a908ebcc452f5505,grandma told us last monday that there is a rake,Transcription_5,grandma_told_us_last_monday_that_there_is_a_rip.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,9
Group_2,680c376ed2436b9e832fedcfdced9ce41cbe335135ba6750a908ebcc452f5505,everyone commented on the usual fee,Transcription_3,everyone_commented_on_the_unusual_feet.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,10
Group_2,680c376ed2436b9e832fedcfdced9ce41cbe335135ba6750a908ebcc452f5505,he not is the weight of the lid,Transcription_7,he_noticed_the_weight_of_the_lead.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,11
Group_2,680c376ed2436b9e832fedcfdced9ce41cbe335135ba6750a908ebcc452f5505,she axently let herself fowl sleep,Transcription_14,she_accidentally_let_herself_fall_sleep.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,12
Group_2,680c376ed2436b9e832fedcfdced9ce41cbe335135ba6750a908ebcc452f5505,the men notice a small issue with the thing,Transcription_18,the_man_noticed_a_small_issue_with_the_theme.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,13
Group_2,680c376ed2436b9e832fedcfdced9ce41cbe335135ba6750a908ebcc452f5505,he noticed something usual about the bean,Transcription_6,he_noticed_something_unusual_about_the_bean.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,14
Group_2,680c376ed2436b9e832fedcfdced9ce41cbe335135ba6750a908ebcc452f5505,the appron she was influenced by his grief,Transcription_12,it_is_apparent_that_she_was_influenced_by_his_greed.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,15
Group_2,680c376ed2436b9e832fedcfdced9ce41cbe335135ba6750a908ebcc452f5505,dey considered the value of the v,Transcription_20,they_considered_the_value_of_the_bead.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,16
Group_2,680c376ed2436b9e832fedcfdced9ce41cbe335135ba6750a908ebcc452f5505,dat told me that i should not vigslaw,Transcription_2,dad_told_me_that_i_should_not_miss_the_big_sloth.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,17
Group_2,680c376ed2436b9e832fedcfdced9ce41cbe335135ba6750a908ebcc452f5505,i told my cleat something is wrong with the math,Transcription_11,i_told_my_colleague_that_something_is_wrong_with_the_math.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,18
Group_2,680c376ed2436b9e832fedcfdced9ce41cbe335135ba6750a908ebcc452f5505,for her own benefit she decided to consume the peel,Transcription_4,for_her_own_benefit_she_decided_to_consume_the_peel.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,19
Group_2,680c376ed2436b9e832fedcfdced9ce41cbe335135ba6750a908ebcc452f5505,i am one hundred percent sure that i felt the heat,Transcription_9,i_am_one_hundred_percent_sure_that_i_felt_the_heat.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,20
Group_3,83592b243e0b33499f77fd5b5a061686f5e86811496a54083a6b03c4416a34e8,The cloud in the sky (something) as a shape,Transcription_17,the_cloud_in_the_sky_appears_to_me_as_a_ship.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,1
Group_3,83592b243e0b33499f77fd5b5a061686f5e86811496a54083a6b03c4416a34e8,The men notice a small issue with the thing,Transcription_18,the_man_noticed_a_small_issue_with_the_theme.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,2
Group_3,83592b243e0b33499f77fd5b5a061686f5e86811496a54083a6b03c4416a34e8,She accidentally let herself fall asleep,Transcription_14,she_accidentally_let_herself_fall_sleep.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,3
Group_3,83592b243e0b33499f77fd5b5a061686f5e86811496a54083a6b03c4416a34e8,I told my colleague that something is wrong with the math,Transcription_11,i_told_my_colleague_that_something_is_wrong_with_the_math.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,4
