Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
692927b63f961b1d21c2722b,5c0765e10ea1410001a9dc5f,APPROVED,Not Applicable,2025-11-28T04:41:08.429000Z,2025-11-28T06:18:27.002000Z,2025-12-19T00:01:30.949000Z,2025-11-28T06:50:35.273554Z,5839.0,C10DNYTK,3411,45,Male,White,United States,United States,United States,English,No,Full-Time
6929567a758b1f7e0a66bb79,67ac5678d6ff3c43d30b333f,APPROVED,Not Applicable,2025-11-28T08:00:25.060000Z,2025-11-28T08:57:45.258000Z,2025-12-19T00:01:32.275000Z,2025-11-28T08:57:45.601869Z,3441.0,C10DNYTK,2038,29,Female,White,United States,United States,United States,English,Yes,Full-Time
69295785e7a7c2a5e9f2010c,66aba95407d5b1630abb7bb0,APPROVED,Not Applicable,2025-11-28T08:05:14.335000Z,2025-11-28T09:11:10.850000Z,2025-12-19T00:01:32.696000Z,2025-11-28T09:11:36.791058Z,3957.0,C10DNYTK,1629,33,Male,Black,United States,United States,United States,English,No,Full-Time
692971cda382180ebebd72ff,677bdabbdcaf99b4cd8c86a5,APPROVED,Not Applicable,2025-11-28T09:58:45.046000Z,2025-11-28T11:46:23.035000Z,2025-12-19T00:01:33.174000Z,2025-11-28T11:47:12.264651Z,6458.0,C10DNYTK,1162,26,Female,White,United States,United States,United States,English,No,Full-Time
692e34aa0a948f2f708e6958,5bf735882dd20c0001317fca,APPROVED,Not Applicable,2025-12-02T00:40:15.817000Z,2025-12-02T01:53:50.454000Z,2025-12-23T00:01:47.548000Z,2025-12-02T01:53:50.779376Z,4415.0,C10DNYTK,1586,28,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
692e3a651d6e05fa1988328a,691259613f5bba344912631f,APPROVED,Not Applicable,2025-12-02T01:01:28.204000Z,2025-12-02T02:02:53.619000Z,2025-12-23T00:01:47.970000Z,2025-12-02T02:02:53.970971Z,3686.0,C10DNYTK,72,34,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
692e3c20fbc9be7409589763,67916c33af88f19622f13e04,APPROVED,Not Applicable,2025-12-02T01:09:04.450000Z,2025-12-02T03:08:26.948000Z,2025-12-23T00:01:48.327000Z,2025-12-02T03:08:27.461820Z,7163.0,NOCODE,1269,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
692f8564f4585dbebef4062b,5dc6a359dbf8204c0584bf02,APPROVED,Not Applicable,2025-12-03T00:34:03.883000Z,2025-12-03T01:52:34.696000Z,2025-12-24T00:02:36.091000Z,2025-12-03T01:52:35.023191Z,4711.0,C10DNYTK,745,35,Female,Black,United States,United States,United States,English,Yes,Full-Time
692f85a678bcc2960957c7f6,6423caa6e9889fdd10b5527f,APPROVED,Not Applicable,2025-12-03T00:34:51.509000Z,2025-12-03T01:37:00.201000Z,2025-12-24T00:02:36.481000Z,2025-12-03T01:37:00.565605Z,3729.0,C10DNYTK,3085,37,Female,White,United States,United States,United States,English,No,Part-Time
692f85b3c20efd92f6f54290,64fc70d3857b067fb81a9662,APPROVED,Not Applicable,2025-12-03T00:35:02.179000Z,2025-12-03T01:28:11.207000Z,2025-12-24T00:02:36.847000Z,2025-12-03T01:28:11.554327Z,3190.0,C10DNYTK,1034,31,Female,White,United States,United States,United States,English,No,Full-Time
