group_id,participant_id,response_value,stimuli_presented,stimulus_files_presented,block,item_base,item_type,condition,nonphon_err_type,phon_err_details,answer,second_attempt_used,trial_num_sequential
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,The men noticed a small issue with the thing,Transcription_18,the_man_noticed_a_small_issue_with_the_theme.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,1
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,I told my colleague that something is wrong with the map,Transcription_11,i_told_my_colleague_that_something_is_wrong_with_the_math.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,2
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,The report said that he admitted to have seen a hill,Transcription_19,the_report_said_that_he_admitted_to_have_seen_a_heel.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,3
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,His finger was wet from a leak,Transcription_8,his_finger_was_wet_from_a_leak.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,4
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,She leaned closer to look at the cheek,Transcription_16,she_leaned_closer_to_look_at_the_cheek.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,5
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,The cloud in the sky appears to me as looking like a shape,Transcription_17,the_cloud_in_the_sky_appears_to_me_as_a_ship.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,6
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,Everyone commented on the municial feat.,Transcription_3,everyone_commented_on_the_unusual_feet.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,7
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,I am 100% sure that I felt the heat,Transcription_9,i_am_one_hundred_percent_sure_that_i_felt_the_heat.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,8
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,He noticed something unusual about the heat.,Transcription_6,he_noticed_something_unusual_about_the_bean.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,9
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,She accidently let herself fall sleep,Transcription_14,she_accidentally_let_herself_fall_sleep.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,10
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,I find it amusing that he was scared of the ride,Transcription_10,i_found_it_amusing_that_he_was_scared_of_the_wrath.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,11
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,They consider the value of the bee,Transcription_20,they_considered_the_value_of_the_bead.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,12
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,"For her own safety, they considered the pill",Transcription_4,for_her_own_benefit_she_decided_to_consume_the_peel.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,13
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,Dad told me that I should not use the big slaw,Transcription_2,dad_told_me_that_i_should_not_miss_the_big_sloth.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,14
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,She admired the design of the assorted boutique,Transcription_15,she_admired_the_design_of_the_sturdy_booth.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,15
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,She apprehended that she was influenced by history,Transcription_12,it_is_apparent_that_she_was_influenced_by_his_greed.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,16
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,Grandma told us last Monday that fairies are reap,Transcription_5,grandma_told_us_last_monday_that_there_is_a_rip.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,17
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,It is obvious to us that you need a bath,Transcription_13,it_is_obvious_to_us_that_you_need_a_bath.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,18
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,He noticed the weight of the leaf,Transcription_7,he_noticed_the_weight_of_the_lead.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,19
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,"After the barbecue yesterday, she was left to weep",Transcription_1,after_the_barbecue_yesterday_she_was_left_to_weep.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,20
Group_2,4c207f52924d545f2a60b018885c527e9f24e06d889289ceba266904e22c6668,he notices the weight of the lead,Transcription_7,he_noticed_the_weight_of_the_lead.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,1
Group_2,4c207f52924d545f2a60b018885c527e9f24e06d889289ceba266904e22c6668,she admired the sound of the...,Transcription_15,she_admired_the_design_of_the_sturdy_booth.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,2
Group_2,4c207f52924d545f2a60b018885c527e9f24e06d889289ceba266904e22c6668,accidently let herself fall asleep,Transcription_14,she_accidentally_let_herself_fall_sleep.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,3
Group_2,4c207f52924d545f2a60b018885c527e9f24e06d889289ceba266904e22c6668,there was wet from the lake,Transcription_8,his_finger_was_wet_from_a_leak.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,4
Group_2,4c207f52924d545f2a60b018885c527e9f24e06d889289ceba266904e22c6668,after the barbecue she was left to vait,Transcription_1,after_the_barbecue_yesterday_she_was_left_to_weep.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,5
Group_2,4c207f52924d545f2a60b018885c527e9f24e06d889289ceba266904e22c6668,consider the value of the veal,Transcription_20,they_considered_the_value_of_the_bead.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,6
Group_2,4c207f52924d545f2a60b018885c527e9f24e06d889289ceba266904e22c6668,dad told me that should...,Transcription_2,dad_told_me_that_i_should_not_miss_the_big_sloth.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,7
Group_2,4c207f52924d545f2a60b018885c527e9f24e06d889289ceba266904e22c6668,someone commented on the unusual feet,Transcription_3,everyone_commented_on_the_unusual_feet.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,8
Group_2,4c207f52924d545f2a60b018885c527e9f24e06d889289ceba266904e22c6668,noticed a svall issue with the thing,Transcription_18,the_man_noticed_a_small_issue_with_the_theme.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,9
Group_2,4c207f52924d545f2a60b018885c527e9f24e06d889289ceba266904e22c6668,for her own benefit she decided to consume the peel,Transcription_4,for_her_own_benefit_she_decided_to_consume_the_peel.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,10
Group_2,4c207f52924d545f2a60b018885c527e9f24e06d889289ceba266904e22c6668,she aprehends she was influenced by his grave,Transcription_12,it_is_apparent_that_she_was_influenced_by_his_greed.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,11
Group_2,4c207f52924d545f2a60b018885c527e9f24e06d889289ceba266904e22c6668,it is obvious law you need a bath,Transcription_13,it_is_obvious_to_us_that_you_need_a_bath.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,12
Group_2,4c207f52924d545f2a60b018885c527e9f24e06d889289ceba266904e22c6668,getting closer to look at the sheet,Transcription_16,she_leaned_closer_to_look_at_the_cheek.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,13
Group_2,4c207f52924d545f2a60b018885c527e9f24e06d889289ceba266904e22c6668,i found it amusing he was scared of the rack,Transcription_10,i_found_it_amusing_that_he_was_scared_of_the_wrath.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,14
Group_2,4c207f52924d545f2a60b018885c527e9f24e06d889289ceba266904e22c6668,the cloud in the sky appears to me as a shape,Transcription_17,the_cloud_in_the_sky_appears_to_me_as_a_ship.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,15
Group_2,4c207f52924d545f2a60b018885c527e9f24e06d889289ceba266904e22c6668,grandma told me last monday things has raped,Transcription_5,grandma_told_us_last_monday_that_there_is_a_rip.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,16
Group_2,4c207f52924d545f2a60b018885c527e9f24e06d889289ceba266904e22c6668,the debor said we need to have some heel,Transcription_19,the_report_said_that_he_admitted_to_have_seen_a_heel.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,17
Group_2,4c207f52924d545f2a60b018885c527e9f24e06d889289ceba266904e22c6668,i told my colleage that something is wrong with the map,Transcription_11,i_told_my_colleague_that_something_is_wrong_with_the_math.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,18
Group_2,4c207f52924d545f2a60b018885c527e9f24e06d889289ceba266904e22c6668,i am one hundred percent sure i felt the heap,Transcription_9,i_am_one_hundred_percent_sure_that_i_felt_the_heat.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,19
